"","x"
"862","ENSG00000150337"
"863","ENSG00000166783"
"864","ENSG00000174501"
"865","ENSG00000066294"
"866","ENSG00000166377"
"867","ENSG00000152213"
"868","ENSG00000186723"
"869","ENSG00000130592"
"870","ENSG00000230791"
"871","ENSG00000163600"
"872","ENSG00000060237"
"873","ENSG00000107968"
"874","ENSG00000188641"
"875","ENSG00000172530"
"876","ENSG00000180773"
"877","ENSG00000180509"
"878","ENSG00000133805"
"879","ENSG00000082293"
"880","ENSG00000166928"
"881","ENSG00000167261"
"882","ENSG00000275079"
"883","ENSG00000162924"
"884","ENSG00000174718"
"885","ENSG00000173208"
"886","ENSG00000228284"
"887","ENSG00000119397"
"888","ENSG00000109320"
"889","ENSG00000196189"
"890","ENSG00000072694"
"891","ENSG00000110852"
"892","ENSG00000114316"
"893","ENSG00000151773"
"894","ENSG00000285235"
"895","ENSG00000176225"
"896","ENSG00000143110"
"897","ENSG00000231048"
"898","ENSG00000168066"
"899","ENSG00000184792"
"900","ENSG00000273656"
"901","ENSG00000183918"
"902","ENSG00000154217"
"903","ENSG00000285174"
"904","ENSG00000064201"
"905","ENSG00000152207"
"906","ENSG00000170852"
"907","ENSG00000236418"
"908","ENSG00000266028"
"909","ENSG00000229644"
"910","ENSG00000267369"
"911","ENSG00000163803"
"912","ENSG00000135363"
"913","ENSG00000215114"
"914","ENSG00000137959"
"915","ENSG00000242950"
"916","ENSG00000105877"
"917","ENSG00000012124"
"918","ENSG00000135365"
"919","ENSG00000091181"
"920","ENSG00000277147"
"921","ENSG00000116977"
"922","ENSG00000169508"
"923","ENSG00000100354"
"924","ENSG00000107611"
"925","ENSG00000234420"
"926","ENSG00000204909"
"927","ENSG00000170458"
"928","ENSG00000166432"
"929","ENSG00000182511"
"930","ENSG00000152520"
"931","ENSG00000154822"
"932","ENSG00000284017"
"933","ENSG00000106348"
"934","ENSG00000109466"
"935","ENSG00000109339"
"936","ENSG00000271303"
"937","ENSG00000183206"
"938","ENSG00000182329"
"939","ENSG00000154027"
"940","ENSG00000211698"
"941","ENSG00000171561"
"942","ENSG00000140264"
"943","ENSG00000171488"
"944","ENSG00000224618"
"945","ENSG00000219626"
"946","ENSG00000146094"
"947","ENSG00000171236"
"948","ENSG00000104219"
"949","ENSG00000226182"
"950","ENSG00000162894"
"951","ENSG00000160310"
"952","ENSG00000251288"
"953","ENSG00000132185"
"954","ENSG00000196950"
"955","ENSG00000233306"
"956","ENSG00000048471"
"957","ENSG00000135828"
"958","ENSG00000139055"
"959","ENSG00000122122"
"960","ENSG00000268758"
"961","ENSG00000167536"
"962","ENSG00000198055"
"963","ENSG00000163993"
"964","ENSG00000173198"
"965","ENSG00000282540"
"966","ENSG00000156265"
"967","ENSG00000179715"
"968","ENSG00000198734"
"969","ENSG00000146285"
"970","ENSG00000135272"
"971","ENSG00000283807"
"972","ENSG00000186329"
"973","ENSG00000188315"
"974","ENSG00000105939"
"975","ENSG00000134444"
"976","ENSG00000151136"
"977","ENSG00000266338"
"978","ENSG00000167208"
"979","ENSG00000135077"
"980","ENSG00000140471"
"981","ENSG00000128872"
"982","ENSG00000180096"
"983","ENSG00000141376"
"984","ENSG00000100721"
"985","ENSG00000100731"
"986","ENSG00000144644"
"987","ENSG00000170956"
"988","ENSG00000138756"
"989","ENSG00000172795"
"990","ENSG00000163221"
"991","ENSG00000008083"
"992","ENSG00000163554"
"993","ENSG00000260644"
"994","ENSG00000143772"
"995","ENSG00000188596"
"996","ENSG00000153283"
"997","ENSG00000180304"
"998","ENSG00000136404"
"999","ENSG00000152229"
"1000","ENSG00000159216"
"1001","ENSG00000114013"
"1002","ENSG00000248483"
"1003","ENSG00000278301"
"1004","ENSG00000203462"
"1005","ENSG00000106066"
"1006","ENSG00000270231"
"1007","ENSG00000170873"
"1008","ENSG00000142046"
"1009","ENSG00000122986"
"1010","ENSG00000172146"
"1011","ENSG00000105851"
"1012","ENSG00000020633"
"1013","ENSG00000100104"
"1014","ENSG00000235568"
"1015","ENSG00000231799"
"1016","ENSG00000186265"
"1017","ENSG00000231752"
