"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000017483",284,336,296,149,145,134,115,3282,303,673
"ENSG00000017797",1943,1974,1899,1714,1736,1741,1583,4926,1929,2128
"ENSG00000018189",1273,1409,1256,711,731,740,722,532,1287,1065
"ENSG00000018236",102,150,269,77,62,81,45,5,125,84
"ENSG00000018280",260,253,232,2655,2321,2174,2152,20782,285,75
"ENSG00000018408",589,668,503,133,140,139,144,54,563,891
"ENSG00000018510",2320,2412,2556,1212,1223,1298,1353,671,2367,1239
"ENSG00000018607",0,0,1,6,4,3,7,0,0,0
"ENSG00000018610",661,600,665,241,259,276,259,503,703,699
"ENSG00000018625",326,313,233,91,102,81,117,20,269,782
"ENSG00000018699",307,328,372,474,397,494,319,406,296,272
"ENSG00000018869",37,30,52,66,94,69,55,73,30,51
"ENSG00000019102",47,38,58,26,19,20,19,448,38,62
"ENSG00000019144",1190,1146,1174,488,582,538,481,146,1104,1546
"ENSG00000019169",136,136,171,64,92,56,72,494,157,274
"ENSG00000019186",2,2,3,24,12,32,23,12,2,1
"ENSG00000019485",355,314,347,173,133,89,165,255,246,363
"ENSG00000019505",916,860,914,50,33,41,17,13,861,979
"ENSG00000019549",105,141,111,12,13,12,15,7,134,267
"ENSG00000019582",16599,14829,16184,1575,1506,1229,1399,159857,15649,64057
"ENSG00000019991",105,101,109,330,347,289,355,256,91,76
"ENSG00000019995",1650,1498,1487,1636,1646,1696,1691,1047,1461,1231
"ENSG00000020129",155,172,155,58,92,64,68,789,162,247
"ENSG00000020181",424,326,527,33,45,66,43,122,375,642
"ENSG00000020219",1,1,0,5,8,3,5,1,0,0
"ENSG00000020256",452,424,385,255,278,259,283,317,374,407
"ENSG00000020426",422,349,338,195,191,191,188,163,347,254
"ENSG00000020577",781,971,778,223,205,262,207,422,980,675
"ENSG00000020633",192,157,249,665,805,711,745,7388,187,468
"ENSG00000020922",980,953,1107,1542,1532,1652,1658,705,982,469
"ENSG00000021300",234,198,157,122,119,83,119,1002,184,521
"ENSG00000021355",6754,7359,6610,2235,2116,2221,1994,10946,6403,9277
"ENSG00000021461",51,28,38,40,45,51,58,17,43,12
"ENSG00000021488",2278,2066,2251,54,51,67,59,58,2346,3918
"ENSG00000021574",1924,1857,1895,1493,1469,1522,1387,939,2054,1047
"ENSG00000021645",292,302,250,205,236,239,202,13,280,446
"ENSG00000021762",277,226,298,356,398,338,280,1963,229,341
"ENSG00000021776",2662,2665,2429,2023,2034,2166,2052,3088,2555,2073
"ENSG00000021826",33504,33821,35329,633,658,791,671,338,33105,29702
"ENSG00000021852",0,0,0,5,13,8,20,0,1,1
"ENSG00000022267",3501,3571,3499,260,294,331,264,617,3382,7481
